         k_x          k_y          k_z           r_b1         r_b2         r_b3     flat index
  0.38606900   0.35460893   0.00000000     0.43564356   0.12871287   0.00000000     0.77213801
  0.38753139   0.35207601   0.00000000     0.43729373   0.12541254   0.00000000     0.77506277
  0.38899377   0.34954309   0.00000000     0.43894389   0.12211221   0.00000000     0.77798754
  0.39045615   0.34701017   0.00000000     0.44059406   0.11881188   0.00000000     0.78091230
  0.39191854   0.34447725   0.00000000     0.44224422   0.11551155   0.00000000     0.78383707
  0.39338092   0.34194433   0.00000000     0.44389439   0.11221122   0.00000000     0.78676184
  0.39484330   0.33941141   0.00000000     0.44554455   0.10891089   0.00000000     0.78968660
  0.39630568   0.33687849   0.00000000     0.44719472   0.10561056   0.00000000     0.79261137
  0.39776807   0.33434557   0.00000000     0.44884488   0.10231023   0.00000000     0.79553613
  0.39923045   0.33181264   0.00000000     0.45049505   0.09900990   0.00000000     0.79846090
  0.40069283   0.32927972   0.00000000     0.45214521   0.09570957   0.00000000     0.80138566
  0.40215521   0.32674680   0.00000000     0.45379538   0.09240924   0.00000000     0.80431043
  0.40361760   0.32421388   0.00000000     0.45544554   0.08910891   0.00000000     0.80723519
  0.40507998   0.32168096   0.00000000     0.45709571   0.08580858   0.00000000     0.81015996
  0.40654236   0.31914804   0.00000000     0.45874587   0.08250825   0.00000000     0.81308472
  0.40800474   0.31661512   0.00000000     0.46039604   0.07920792   0.00000000     0.81600949
  0.40946713   0.31408220   0.00000000     0.46204620   0.07590759   0.00000000     0.81893425
  0.41092951   0.31154928   0.00000000     0.46369637   0.07260726   0.00000000     0.82185902
  0.41239189   0.30901636   0.00000000     0.46534653   0.06930693   0.00000000     0.82478378
  0.41385427   0.30648344   0.00000000     0.46699670   0.06600660   0.00000000     0.82770855
  0.41531666   0.30395051   0.00000000     0.46864686   0.06270627   0.00000000     0.83063331
  0.41677904   0.30141759   0.00000000     0.47029703   0.05940594   0.00000000     0.83355808
  0.41824142   0.29888467   0.00000000     0.47194719   0.05610561   0.00000000     0.83648284
  0.41970380   0.29635175   0.00000000     0.47359736   0.05280528   0.00000000     0.83940761
  0.42116619   0.29381883   0.00000000     0.47524752   0.04950495   0.00000000     0.84233237
  0.42262857   0.29128591   0.00000000     0.47689769   0.04620462   0.00000000     0.84525714
  0.42409095   0.28875299   0.00000000     0.47854785   0.04290429   0.00000000     0.84818190
  0.42555333   0.28622007   0.00000000     0.48019802   0.03960396   0.00000000     0.85110667
  0.42701572   0.28368715   0.00000000     0.48184818   0.03630363   0.00000000     0.85403143
  0.42847810   0.28115423   0.00000000     0.48349835   0.03300330   0.00000000     0.85695620
  0.42994048   0.27862130   0.00000000     0.48514851   0.02970297   0.00000000     0.85988096
  0.43140287   0.27608838   0.00000000     0.48679868   0.02640264   0.00000000     0.86280573
  0.43286525   0.27355546   0.00000000     0.48844884   0.02310231   0.00000000     0.86573050
  0.43432763   0.27102254   0.00000000     0.49009901   0.01980198   0.00000000     0.86865526
  0.43579001   0.26848962   0.00000000     0.49174918   0.01650165   0.00000000     0.87158003
  0.43725240   0.26595670   0.00000000     0.49339934   0.01320132   0.00000000     0.87450479
  0.43871478   0.26342378   0.00000000     0.49504951   0.00990099   0.00000000     0.87742956
  0.44017716   0.26089086   0.00000000     0.49669967   0.00660066   0.00000000     0.88035432
  0.44163954   0.25835794   0.00000000     0.49834984   0.00330033   0.00000000     0.88327909
  0.44310193   0.25582502   0.00000000     0.50000000  -0.00000000   0.00000000     0.88620385
  0.44310193   0.25582502   0.00000000     0.50000000  -0.00000000   0.00000000     0.88620385
  0.43871478   0.25329210   0.00000000     0.49504951  -0.00000000   0.00000000     0.89126969
  0.43432763   0.25075917   0.00000000     0.49009901  -0.00000000   0.00000000     0.89633554
  0.42994048   0.24822625   0.00000000     0.48514851  -0.00000000   0.00000000     0.90140138
  0.42555333   0.24569333   0.00000000     0.48019802  -0.00000000   0.00000000     0.90646722
  0.42116619   0.24316041   0.00000000     0.47524752  -0.00000000   0.00000000     0.91153306
  0.41677904   0.24062749   0.00000000     0.47029703  -0.00000000   0.00000000     0.91659890
  0.41239189   0.23809457   0.00000000     0.46534653  -0.00000000   0.00000000     0.92166474
  0.40800474   0.23556165   0.00000000     0.46039604  -0.00000000   0.00000000     0.92673059
  0.40361760   0.23302873   0.00000000     0.45544554  -0.00000000   0.00000000     0.93179643
  0.39923045   0.23049581   0.00000000     0.45049505  -0.00000000   0.00000000     0.93686227
  0.39484330   0.22796289   0.00000000     0.44554455  -0.00000000   0.00000000     0.94192811
  0.39045615   0.22542996   0.00000000     0.44059406  -0.00000000   0.00000000     0.94699395
  0.38606900   0.22289704   0.00000000     0.43564356  -0.00000000   0.00000000     0.95205980
  0.38168186   0.22036412   0.00000000     0.43069307  -0.00000000   0.00000000     0.95712564
  0.37729471   0.21783120   0.00000000     0.42574257  -0.00000000   0.00000000     0.96219148
  0.37290756   0.21529828   0.00000000     0.42079208  -0.00000000   0.00000000     0.96725732
  0.36852041   0.21276536   0.00000000     0.41584158  -0.00000000   0.00000000     0.97232316
  0.36413327   0.21023244   0.00000000     0.41089109  -0.00000000   0.00000000     0.97738901
  0.35974612   0.20769952   0.00000000     0.40594059  -0.00000000   0.00000000     0.98245485
  0.35535897   0.20516660   0.00000000     0.40099010  -0.00000000   0.00000000     0.98752069
  0.35097182   0.20263368   0.00000000     0.39603960  -0.00000000   0.00000000     0.99258653
  0.34658467   0.20010076   0.00000000     0.39108911  -0.00000000   0.00000000     0.99765237
  0.34219753   0.19756783   0.00000000     0.38613861  -0.00000000   0.00000000     1.00271822
  0.33781038   0.19503491   0.00000000     0.38118812  -0.00000000   0.00000000     1.00778406
  0.33342323   0.19250199   0.00000000     0.37623762  -0.00000000   0.00000000     1.01284990
  0.32903608   0.18996907   0.00000000     0.37128713  -0.00000000   0.00000000     1.01791574
  0.32464894   0.18743615   0.00000000     0.36633663  -0.00000000   0.00000000     1.02298158
  0.32026179   0.18490323   0.00000000     0.36138614  -0.00000000   0.00000000     1.02804742
  0.31587464   0.18237031   0.00000000     0.35643564  -0.00000000   0.00000000     1.03311327
  0.31148749   0.17983739   0.00000000     0.35148515  -0.00000000   0.00000000     1.03817911
  0.30710034   0.17730447   0.00000000     0.34653465  -0.00000000   0.00000000     1.04324495
  0.30271320   0.17477155   0.00000000     0.34158416  -0.00000000   0.00000000     1.04831079
  0.29832605   0.17223862   0.00000000     0.33663366  -0.00000000   0.00000000     1.05337663
  0.29393890   0.16970570   0.00000000     0.33168317  -0.00000000   0.00000000     1.05844248
  0.28955175   0.16717278   0.00000000     0.32673267  -0.00000000   0.00000000     1.06350832
  0.28516461   0.16463986   0.00000000     0.32178218  -0.00000000   0.00000000     1.06857416
  0.28077746   0.16210694   0.00000000     0.31683168  -0.00000000   0.00000000     1.07364000
  0.27639031   0.15957402   0.00000000     0.31188119  -0.00000000   0.00000000     1.07870584
  0.27200316   0.15704110   0.00000000     0.30693069  -0.00000000   0.00000000     1.08377169
  0.26761601   0.15450818   0.00000000     0.30198020  -0.00000000   0.00000000     1.08883753
  0.26322887   0.15197526   0.00000000     0.29702970  -0.00000000   0.00000000     1.09390337
  0.25884172   0.14944234   0.00000000     0.29207921  -0.00000000   0.00000000     1.09896921
  0.25445457   0.14690942   0.00000000     0.28712871  -0.00000000   0.00000000     1.10403505
  0.25006742   0.14437649   0.00000000     0.28217822  -0.00000000   0.00000000     1.10910090
  0.24568028   0.14184357   0.00000000     0.27722772  -0.00000000   0.00000000     1.11416674
  0.24129313   0.13931065   0.00000000     0.27227723  -0.00000000   0.00000000     1.11923258
